lemma	ipm	r	d	doc	dicts
взмахивать	2.9	61	87	183	0
взмахнуть	7.4	77	88	372	0
взметнуть	1.1	46	86	83	0
взметнуться	2.9	71	89	193	0
взмокнуть	2.8	65	88	184	0
взмолиться	6.6	82	89	362	0
взмывать	2.1	71	90	150	0
взмылить	0.9	48	86	63	0
взмыть	3.0	67	88	185	0
взнуздать	0.4	25	78	29	0
взобраться	6.0	88	90	354	1
взойти	9.7	94	93	561	2
взопреть	0.4	25	79	32	0
взорвать	13.7	97	93	668	4
взорваться	14.1	97	94	720	1
взрасти	0.5	29	80	39	0
взрастить	2.1	79	91	161	0
взращивать	0.8	43	85	65	0
взреветь	4.8	73	89	269	0
взрезать	0.7	35	84	56	0
взрослеть	2.9	86	91	218	0
взрывать	5.1	89	92	332	3
взрываться	6.1	94	94	408	0
взрыхлить	0.6	31	83	48	0
взъерошить	3.8	70	88	241	0
взъесться	0.6	31	82	46	0
взъяриться	0.7	34	83	52	0
взывать	6.8	94	90	444	0
взыграть	1.6	58	88	116	0
взыскать	4.2	88	88	262	0
взыскивать	1.4	57	81	97	0
взыскиваться	0.7	21	59	38	0
взять	525.8	100	95	9275	4
взяться	68.6	100	95	2494	4
вибрировать	2.4	79	91	165	1
видать	28.6	98	92	1127	0
видаться	0.5	32	83	40	0
видеть	818.2	100	96	9914	7
видеться	33.0	100	96	1371	3
виднеться	14.7	93	91	568	1
видоизменить	0.9	38	76	61	0
видоизмениться	0.4	28	81	36	0
видоизменять	0.6	28	81	44	0
видоизменяться	1.0	52	84	72	0
видывать	2.4	73	89	166	0
визжать	8.8	84	90	477	0
визировать	0.5	33	83	42	1
визуализировать	0.4	12	70	28	0
вильнуть	2.3	54	86	148	0
вилять	3.6	72	88	218	0
винить	8.3	94	93	474	1
виниться	0.7	36	80	50	0
висеть	81.3	100	93	2128	5
виснуть	1.5	61	87	98	1
витать	6.9	94	94	439	0
витийствовать	0.6	26	77	36	0
вить	2.2	75	87	145	2
виться	8.4	97	92	465	1
вихлять	0.6	32	82	46	0
вихляться	0.5	27	79	39	0
вкалывать	4.9	89	91	290	0
вкатить	1.4	58	87	106	0
вкатиться	0.6	32	81	44	0
вкладывать	18.4	100	94	1204	1
вкладываться	2.7	75	90	220	0
вклеивать	0.4	28	78	30	0
вклеить	0.8	47	87	70	0
вклиниваться	0.7	45	87	58	0
вклиниться	1.8	68	89	138	0
включать	75.4	100	89	3814	4
включаться	14.3	99	90	955	0
включить	70.1	100	97	3181	3
включиться	9.0	100	95	604	1
вколачивать	0.6	32	83	51	1
вколотить	0.6	35	83	50	1
вколоть	1.1	56	88	80	0
вкопать	3.4	85	90	246	0
вкрапить	0.5	33	84	43	0
вкрасться	0.7	45	85	59	0
вкусить	3.1	81	89	214	1
вкушать	1.9	72	90	148	1
владеть	45.7	100	96	2244	7
вламываться	0.8	47	86	63	0
властвовать	4.7	92	92	317	0
влачить	1.6	68	90	134	0
влезать	6.7	93	94	436	2
влезть	16.7	96	91	786	2
влепить	2.6	69	89	180	0
влетать	3.4	80	91	233	1
влететь	8.9	89	91	494	1
влечь	23.3	100	64	955	1
влечься	0.4	25	78	30	0
вливать	2.4	75	90	159	1
вливаться	3.6	91	91	248	1
влипать	0.4	28	82	32	0
влипнуть	3.3	71	89	205	0
влить	4.3	83	88	236	1
влиться	4.1	93	92	320	1
влиять	39.4	100	90	2245	4
вложить	27.7	100	96	1639	1
вложиться	0.7	45	86	51	0
вломиться	2.0	67	88	147	0
влюбить	13.3	97	94	651	0
влюбиться	18.8	97	93	729	4
влюбляться	6.3	95	93	340	2
вляпаться	2.2	66	88	142	0
вмазать	1.3	45	84	78	0
вменить	3.2	71	87	179	0
вменять	1.0	50	86	77	0
вменяться	1.7	70	90	131	0
вмерзнуть	0.8	40	85	61	0
вместить	4.9	95	90	365	1
вместиться	1.0	52	87	79	0
вмешаться	16.8	98	93	761	3
вмешиваться	16.4	99	96	918	3
вмещать	4.7	94	92	326	1
вмещаться	1.3	64	90	108	0
вмонтировать	2.1	82	92	158	0
вмуровать	0.4	28	82	33	0
вмять	0.4	27	81	37	0
внедрить	8.9	92	91	637	2
внедриться	1.2	64	90	97	0
внедрять	4.8	89	91	391	2
внедряться	4.0	83	91	334	0
внести	57.4	100	93	3312	5
вникать	7.9	98	94	489	1
вникнуть	4.4	95	94	303	2
внимать	6.2	91	92	394	1
вносить	27.8	100	92	1717	4
вноситься	4.3	73	78	282	0
внушать	15.0	100	95	799	2
внушаться	0.5	26	79	40	0
внушить	7.6	97	92	426	2
внять	3.0	85	92	223	1
вобрать	3.6	92	92	276	0
вовлекать	3.0	84	92	226	1
вовлекаться	1.6	50	84	125	0
вовлечь	7.8	98	92	537	2
вогнать	2.3	68	89	154	0
водворить	1.1	55	87	83	0
водвориться	0.4	19	67	32	0
водить	34.7	98	88	1332	4
водиться	17.3	99	94	940	1
водружать	0.4	30	83	38	0
водрузить	4.4	92	92	280	0
воевать	44.1	99	94	1440	4
вожделеть	0.6	34	80	49	0
возблагодарить	0.8	39	79	57	0
возбраняться	1.2	59	89	108	0
возбудить	22.9	99	94	1234	2
возбудиться	1.1	48	86	77	1
возбуждать	9.1	98	92	508	4
возбуждаться	2.8	81	87	184	1
возвеличивать	0.5	31	82	42	0
возвеличить	0.5	30	82	40	0
возвести	13.1	98	93	774	1
возвестить	3.0	75	83	189	0
возвещать	2.4	75	79	166	0
возводить	8.1	99	94	556	1
возводиться	3.1	73	88	233	0
возвратить	12.7	97	90	716	4
возвратиться	15.5	98	94	718	4
возвращать	20.7	100	96	1206	6
возвращаться	125.8	100	96	3667	6
возвысить	4.1	92	91	281	0
возвыситься	1.7	69	90	129	0
возвышать	2.8	85	92	199	0
возвышаться	11.5	97	94	619	0
возглавить	19.8	98	91	1208	3
возглавлять	33.0	100	92	1949	3
возглавляться	0.9	42	84	65	0
возгласить	0.9	44	85	69	0
возглашать	0.9	41	81	65	0
возгордиться	0.6	38	85	49	1
воздавать	1.2	58	87	89	0
воздать	2.5	78	90	187	0
воздаться	0.4	29	82	36	0
воздвигать	1.4	66	90	104	1
воздвигаться	0.6	39	86	50	0
воздвигнуть	5.2	89	92	343	1
воздвигнуться	0.4	30	82	33	0
воздевать	0.7	35	84	48	0
воздействовать	10.7	97	91	661	1
возделать	0.6	35	82	42	0
возделывать	1.1	55	86	86	0
воздержаться	5.8	95	93	384	2
воздерживаться	3.0	84	91	229	1
воздеть	2.2	63	88	144	0
возжелать	1.1	55	87	84	0
воззвать	1.0	52	87	82	0
воззриться	1.2	38	80	74	0
возить	23.8	99	95	1085	4
возиться	19.4	96	92	867	1
возлагать	5.9	98	94	447	1
возлагаться	5.1	75	79	331	0
возлежать	1.7	62	86	109	0
возликовать	1.3	53	87	102	0
возложить	15.5	98	86	980	2
возлюбить	5.6	91	74	330	0
возместить	4.9	89	76	317	2
возмечтать	0.5	32	83	39	0
возмещать	2.0	73	85	154	1
возмещаться	1.5	37	50	69	0
возмужать	1.0	55	88	82	0
возмутить	9.7	96	94	586	2
возмутиться	20.4	95	90	769	2
возмущать	3.0	85	92	228	2
возмущаться	14.5	95	94	806	2
вознаградить	2.5	80	90	186	1
вознаграждать	0.5	34	84	39	1
вознаграждаться	0.6	33	82	48	0
вознамериться	2.8	81	91	198	0
возненавидеть	4.7	88	92	307	1
вознести	4.7	90	90	296	1
вознестись	2.6	74	87	198	0
возникать	138.4	100	92	5125	4
возникнуть	133.6	100	96	4853	3
возносить	2.7	82	88	192	1
возноситься	1.9	75	87	143	0
возобладать	1.8	68	90	151	0
возобновить	7.3	97	93	505	1
возобновиться	4.1	95	93	294	0
возобновлять	2.5	75	87	163	1
возобновляться	2.1	72	90	163	0
возомнить	2.1	74	89	146	0
возопить	1.6	57	87	112	0
возрадоваться	1.2	49	80	94	0
возражать	30.2	99	95	1256	6
возразить	34.9	98	92	1153	5
возрастать	24.0	100	89	1565	1
возрасти	26.9	99	91	1721	1
возродить	6.8	90	91	516	1
возродиться	3.5	90	92	270	1
возрождать	2.3	77	91	194	1
возрождаться	3.7	77	91	277	1
возыметь	2.0	76	92	156	0
войти	205.5	100	96	5227	4
волновать	33.1	100	96	1577	5
волноваться	49.9	99	94	1465	6
волочить	5.8	82	89	319	1
волочиться	2.4	66	88	169	0
волочь	5.8	85	89	319	0
волочься	0.5	28	81	37	0
вонзать	0.9	43	84	65	0
вонзаться	1.4	57	87	102	1
вонзить	2.1	61	86	140	0
вонзиться	2.3	55	86	144	1
вонять	6.0	79	89	303	0
воображать	11.6	96	93	605	2
вообразить	13.6	96	93	648	2
воодушевить	1.9	70	88	147	1
воодушевиться	1.0	54	88	80	1
воодушевлять	1.3	63	87	100	1
воодушевляться	0.5	33	83	42	1
вооружать	1.0	51	86	74	3
вооружаться	1.0	59	89	80	1
вооружить	10.6	95	94	610	3
вооружиться	3.3	87	93	256	2
вопить	9.4	92	91	446	1
вопиять	1.5	59	74	100	0
воплотить	11.1	96	92	774	0
воплотиться	4.2	89	89	298	0
воплощать	5.8	89	91	403	0
воплощаться	2.5	76	89	181	0
вопросить	1.4	55	85	90	0
вопрошать	4.8	92	92	330	0
ворваться	15.7	94	93	735	0
ворковать	2.1	63	88	154	0
воровать	16.7	98	94	788	2
ворожить	0.7	34	77	46	0
воротить	3.1	84	91	229	0
воротиться	2.7	54	79	107	0
ворочать	4.2	77	89	260	1
ворочаться	6.8	80	89	389	0
ворошить	2.6	77	90	181	0
ворчать	10.6	92	91	531	1
воскликнуть	50.5	98	90	1086	1
восклицать	10.8	94	91	536	1
воскресать	1.3	58	88	95	0
воскресить	3.9	87	88	217	0
воскреснуть	9.8	94	71	414	0
воскрешать	1.7	64	86	127	0
воспалить	2.8	73	89	191	0
воспалиться	0.4	25	80	30	0
воспарить	1.0	49	85	82	0
воспарять	0.4	29	83	31	0
воспевать	4.2	79	83	236	0
воспеть	4.1	87	91	290	0
воспитать	18.8	99	95	1017	4
воспитывать	20.8	100	94	1037	5
воспитываться	4.8	93	90	316	0
воспламенить	0.5	31	83	36	0
воспламениться	0.4	23	79	34	0
воспламенять	0.4	29	82	34	0
воспламеняться	0.5	37	86	41	0
восполнить	2.8	81	92	240	0
